#
# Nms_Vancianspells
#
# July 2018
# Better To Have And Not Need Than To Need And Not Have.
# Some Sources For Words So I Didn't Need To Type All That Stuff:
# My Own Imbue Spirit Spell For Dcc
# This List Of Adjectives: Https://Www.Dailywritingtips.Com/100-Exquisite-Adjectives/
# MAR Barker's Demonic Powers exerpt from the Book of Ebon Bindings
#

:Start 
1-5,[Name]'s [Spell]
1,Ubiquitous
1,Uxorious
1,Verdant
1,Voluble
1,Voracious
1,Wheedling
1,Withering
1,Zealous
1,Abhorrent
1,Abominable
1,Ancient
1,Black
1,Blasphemous
1,Crawling
1,Creeping
1,Crypt
1,Damned
1,Dark
1,Dead
1,Deep
1,Dimensional
1,Dread
1,Elder
1,Eldritch
1,Esoteric
1,Evil
1,Faceless
1,Flying
1,Formless
1,Gaunt
1,Hideous
1,Horrific
1,Living
1,Loathsome
1,Lurking
1,Mad
1,Mist
1,Night
1,Red
1,Shadow
1,Shambling
1,Shunned
1,Sightless
1,Slithering
1,Star
1,Tomb
1,White
1,Winged

;Effect
1,Abcission
1,Aberration
1,Absorption
1,Abstersion
1,Abstraction
1,Aeriality
1,Arriving
1,Artifice
1,Ascertainment
1,Avoidance
1,Barring
1,Beclouding
1,Calcination
1,Cloning
1,Colliquation
1,Commingling
1,Comminution
1,Compression
1,Concupiscence
1,Conducting
1,Consuming
1,Contusing
1,Decardilisation
1,Decorporealisation
1,Defilement
1,Deflagration
1,Delusiveness
1,Denuding
1,Depriving
1,Derision
1,Descrying
1,Desiccation
1,Dimunition
1,Disclosure
1,Disencarceration
1,Disenchantment
1,Disinvigoration
1,Disjection
1,Dispelling
1,Divestment
1,Drollery
1,Ebullience
1,Edacity
1,Eduction
1,Effusing
1,Elicitation
1,Emulation
1,Engulfment
1,Enragement
1,Enrapturement
1,Enrapturement
1,Entombing
1,Envenomisation
1,Envisioning
1,Expunging
1,Extraction
1,Fabrication
1,Favouring
1,Febrifacience
1,Gathering
1,Gerontification
1,Gifting
1,Guarding
1,Imparting
1,Implacibility
1,Incendiarism
1,Inclination
1,Inculcation
1,Incursion
1,Inflammation
1,Ingurgitation
1,Ingurgitation
1,Intermuring
1,Intrepidity
1,Liquefacation
1,Manducation
1,Marshalling
1,Metagrobolisation
1,Necrosis
1,Numbing
1,Obnubilation
1,Obturation
1,Overthrowing
1,Pansophism
1,Parablepsis
1,Pestilence
1,Phantasms
1,Prorogation
1,Punition
1,Purging
1,Pursuing
1,Putrefacation
1,Raising
1,Refluence
1,Rendering
1,Repulsion
1,Restoration
1,Reverberation
1,Risibility
1,Saturation
1,Sealing
1,Seismism
1,Slaying
1,Soporiferousness
1,Sovereignty
1,Stridency
1,Sundering
1,Tempetuousness
1,Thundering
1,Trampling
1,Transformation
1,Translating
1,Transmutation
1,Transportation
1,Vapulation
1,Visitation
1,Vitalisation
1,Vitilisation
1,Warding
1,Warring
1,Zooification



