#
# NMS_WampusWitch
#
# November 1, 1, - incidentally the day that the 1, election was decided.
# This is based on Erik Jensen's terrific batch of tables from the Lumberlands'
# freebie called Limited Edition Pumpkin Spice Wampus Country.
# I took some liberties with the format but it works!
# Much love and admiration to Erik and his associate Dr. Lovebeard, purveyor of fine snake oil and other cordials
#

;Start
1,This witch is named [Name]. She is a witch because she [Origin]. She hates [Spite], and is known for [Method].
_She has [Appearance] and wears [Dress]. It is rumored that [Quirks]. She can be seen riding about on [Conveyance].
_Her pet is [Minion], and she is weak against [Vulnerability]. She is never far from her [Implement]
1,if caught out at sunrise, she turns to stone
1,if caught out at sunrise, she crumbles to dust
1,if caught out at sunrise, she must retreat
1,if caught out at sunrise, she immolates
1,her emotions affect the local weather, causing storms
1,he who strikes the killing-blow upon her takes on all her debts, mundane and mystical

;Vulnerability
1,her own [Implement]
1,her own reflection
1,her own voice
1,her own bloodline
1,a precious material (gold, silver, diamond)
1,mundane animal (duck, salmon) or related product (eggs)
1,mundane plant (hollyberry, potato)
1,utterance of a fairly common word
1,a mundane material (bronze, stone, water)
1,particular moon-phase, holiday or unusual occurrence (coronation of a new king, etc)
1,particular profession (tailor, wainwright, pageboy)

;Conveyance
1,sittable household item (broom, mop, sawhorse, rocking-chair)
1,immense kitchen object (mortar & pestle, bowl, beer-stein)
1,storage object (barrel, crate, trunk, chest, burlap sack)
1,rowboat/canoe
1,snowshoes or skis
1,anachronistic object (vacuum cleaner, velocipede)
1,giant egg
1,chariot/coach drawn by (black steeds, skinless hounds, blinded orphans)
1,saddle/howdah on the back of a giant version of a mundane animal (vole, pillbug, sow)
1,transforms into a flying creature (screech owl, bat, giant moth - human head optional)
1,transforms into (mist, dark cloud, puddle of blood, shifting sands)
1,skeletal/zombie (horse, stag, emu)

;Implement
1,sewing item (needle, bobbin, bolt of cloth, spinning-wheel, carding-combs)
1,grooming item (straight razor, scissors/shears)
1,something choppy (meat cleaver, woodsman’s hatchet)
1,standard weapon (dagger, spear) made of something unusual
1,skull, corpse, or body-part (cat’s skull, mummified infant, fox-tail)
1,walking-stick, cane, staff
1,creepy light source (candlestick, lantern, hand of glory)
1,something to choke with (chains, rope/noose, length of sewing-thread)

;Minion
1,familiar (cat, toad, raven, owl, the usual suspects)
1,homunculus, imp, or demonling
1,sentient animated object (tome, ottoman, scythe, dressing-mirror, mounted moose head)
1,superior-to-the-norm specimen (lesser undead, goblinoid)
1,mind-controlled knight or huntsman
1,several somethings stitched into one massive being (use any low-level random encounter table you have at hand)
1,sentient dung-pile or patch of moss (use slime stats)
1,floating, talking (skull, jack-o-lantern, severed dog’s head)
1,alligator or boa (possibly albino)
1,giant version of vicious mammal (bobcat, coyote, jackal, wolverine, skunk)
